ProductId,ItemCode,ItemDescription,FamilyName,GroupHeader,MainGroup,SubGroup1,SubGroup2,SubGroup3,SubGroup4,SubGroup5,SubGroup6,SubGroup7,SubGroup8,ProductFamily,ItemPurchaseType,Price in USD - P.Y,Price in USD - C.Y,Price in INR - P.Y,Price in INR - C.Y,AnnexureId,UnitofMeasures,EDApplicable,VATApplicable,PackageType,VariantCode,VariantDescription,BelongsTo,,,,
39,D32C292242-,Base Cabinet, 8 Dwr, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D32.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D32C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
40,D32C292248-,Base Cabinet, 8 Dwr, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D32.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D32C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
41,D26C292218-,Base Cabinet, 3 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D26.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D26C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
42,D81C292218-,Base Cabinet, 2 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D81.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D81C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
43,D81C292221-,Base Cabinet, 2 Dwr, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D81.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D81C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
44,D81C292224-,Base Cabinet, 2 Dwr, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D81.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D81C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
45,D84C292218-,Base Cabinet, 3 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D84.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D84C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
46,D84C292221-,Base Cabinet, 3 Dwr, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D84.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D84C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
47,D84C292224-,Base Cabinet, 3 Dwr, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D84.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D84C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
48,D85C292218-,Base Cabinet, 3 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D85.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D85C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
49,D85C292221-,Base Cabinet, 3 Dwr, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D85.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D85C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
50,D85C292224-,Base Cabinet, 3 Dwr, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D85.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D85C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
